Title,Rating,Address,Directions,Contact,Web Link,SitemapExists,ContactPageURL,Emails,Phones,ContactPersons,OtherInfo,Profession
"Dr. Bill Dorfman, DDS – Century City Aesthetic Dentistry","4.6
(234)","
10400 Magnolia Blvd, North Hollywood, CA 91601, United States","https://www.google.com/maps/place/Dr.+Bill+Dorfman,+DDS+%E2%80%93+Century+City+Aesthetic+Dentistry/data=!4m7!3m6!1s0x80c2bbf24adbb6d3:0xa23228a1baf2f33b!8m2!3d34.0593713!4d-118.411306!16s%2Fg%2F1tq8jtty!19sChIJ07bbSvK7woARO_PyuqEoMqI?authuser=0&hl=en&rclk=1","
+1 310-277-5678",https://www.billdorfmandds.com/?utm_source=GoogleMyBusiness&utm_medium=Organic&utm_campaign=Website,True,,,,,{},Dentist In California
California Smile,"5.0
(1,663)",,https://www.google.com/maps/place/California+Smile/data=!4m7!3m6!1s0x8085669418f8f39b:0xbe26f663baa78f56!8m2!3d37.9740896!4d-122.0647823!16s%2Fg%2F1t_wpk_n!19sChIJm_P4GJRmhYARVo-numP2Jr4?authuser=0&hl=en&rclk=1,"
+1 925-689-6400",http://www.californiasmile.com/,True,,,,"Thuy Pham, Son Pham, Hoang 'Wayne' Pham, Sanaz","{""address"": ""620 Contra Costa Blvd. Suite 100 Pleasant Hill, CA 94523"", ""social_media"": {}}",Dentist In California
Cal Dental Pasadena,"4.9
(238)","
620 Contra Costa Blvd Suite 100, Pleasant Hill, CA 94523, United States",https://www.google.com/maps/place/Cal+Dental+Pasadena/data=!4m7!3m6!1s0x80c2c3276ac431c3:0x9b0f53de5fc1059d!8m2!3d34.1667619!4d-118.132692!16s%2Fg%2F11fb0q9fds!19sChIJwzHEaifDwoARnQXBX95TD5s?authuser=0&hl=en&rclk=1,"
+1 626-584-1800",https://www.caldentalpasadena.com/,True,,,,,"{""address"": ""1213 N. Lake Ave, Suite 1 Pasadena, CA 91104"", ""social_media"": {}}",Dentist In California
CaliDental Santa Maria,"4.9
(150)",,https://www.google.com/maps/place/CaliDental+Santa+Maria/data=!4m7!3m6!1s0x80ec6b234c4f0c61:0x443bf67156a8b550!8m2!3d34.9206391!4d-120.4330697!16s%2Fg%2F11k6c2z1zb!19sChIJYQxPTCNr7IARULWoVnH2O0Q?authuser=0&hl=en&rclk=1,"
+1 805-309-0570",https://www.calidentalsmiles.com/,True,,,,"Koushan Azad, DMD, Randa Seif, Patrick Miyamasu, DDS, Arya Rovira, Epifania Figueroa, Naznin Bholat, DDS, Olivia Aguinaga, Sonia Espinoza",{},Dentist In California
California Dental Group,"4.6
(428)",,https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80dcae174c6db2cf:0x852e74bc74bcb861!8m2!3d33.9834337!4d-117.3489385!16s%2Fg%2F1v8y49_0!19sChIJz7JtTBeu3IARYbi8dLx0LoU?authuser=0&hl=en&rclk=1,"
+1 951-292-4488",https://www.cadentalgroup.com/contact/riverside/,False,,,,,{},Dentist In California
San Francisco Dental Care,"4.9
(429)",,https://www.google.com/maps/place/San+Francisco+Dental+Care/data=!4m7!3m6!1s0x8085873b716c247f:0x468da664a0f485ee!8m2!3d37.7854604!4d-122.462695!16s%2Fg%2F1tc_wv12!19sChIJfyRscTuHhYAR7oX0oGSmjUY?authuser=0&hl=en&rclk=1,"
+1 415-668-0526",https://www.sanfranciscodentalcare.com/,True,,,,"Dr. Mary Anne Baysac, Dr. Sohail Ebrahimi, Dr. Renee Chow, Dr. Linh Tran","{""address"": ""4200 California St #210 San Francisco, CA 94118"", ""social_media"": {}}",Dentist In California
California Dental Group,"4.1
(12)",,https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c2cc340b2b091d:0x7811866ad5053440!8m2!3d33.9493099!4d-118.1636036!16s%2Fg%2F1tc_4ccf!19sChIJHQkrCzTMwoARQDQF1WqGEXg?authuser=0&hl=en&rclk=1,"
+1 562-352-8500",https://www.cadentalgroup.com/contact/south-gate/,False,,,,,{},Dentist In California
California Dentistry & Braces,"4.8
(471)","
609 S Glendale Ave, Glendale, CA 91205, United States",https://www.google.com/maps/place/California+Dentistry+%26+Braces/data=!4m7!3m6!1s0x80dccd37899c6b2b:0xd804192a4a3c1b67!8m2!3d33.9842283!4d-117.7142629!16s%2Fg%2F1hc458029!19sChIJK2uciTfN3IARZxs8SioZBNg?authuser=0&hl=en&rclk=1,"
+1 818-574-3098",http://caldentistryandbraces.com/,True,,,,,{},Dentist In California
California Dental Specialty Group,"4.8
(275)","
1520 S San Jacinto Ave STE 10, San Jacinto, CA 92583, United States",https://www.google.com/maps/place/California+Dental+Specialty+Group/data=!4m7!3m6!1s0x808fb679c8dd8fef:0x7f7afa58baed9d7c!8m2!3d37.3585931!4d-122.02808!16s%2Fg%2F1tfb6stg!19sChIJ74_dyHm2j4ARfJ3tulj6en8?authuser=0&hl=en&rclk=1,"
+1 951-487-2244",https://www.sunnyvaledentalspecialty.com/,False,,,,,{},Dentist In California
Guillermo Donan DDS,"4.9
(54)","
500 E Remington Dr #19, Sunnyvale, CA 94087, United States",https://www.google.com/maps/place/Guillermo+Donan+DDS/data=!4m7!3m6!1s0x80945d5fded71a6b:0xca2f151cec77c39a!8m2!3d36.8154157!4d-119.7878168!16s%2Fg%2F1th576_b!19sChIJaxrX3l9dlIARmsN37BwVL8o?authuser=0&hl=en&rclk=1,"
+1 408-749-9888",https://www.sunnyvaledentalspecialty.com/,False,,,,,{},Dentist In California
California Wave Dental Center,"4.9
(1,144)","
125 E Barstow Ave STE 101, Fresno, CA 93710, United States",https://www.google.com/maps/place/California+Wave+Dental+Center/data=!4m7!3m6!1s0x80e83b4a9862d82d:0x4ac7a5ea57f59806!8m2!3d34.1805919!4d-118.8755609!16s%2Fg%2F11hdjst1w9!19sChIJLdhimEo76IARBpj1V-qlx0o?authuser=0&hl=en&rclk=1,"
+1 559-222-9923",http://cawavedental.com/,False,,,,,{},Dentist In California
California Dental Group,"4.7
(13)","
166 N Moorpark Rd STE 202, Thousand Oaks, CA 91360, United States",https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c2b56448bbe3cf:0x4ace93c2f97413b5!8m2!3d33.8731381!4d-118.3075397!16s%2Fg%2F11g9dd_bdv!19sChIJz-O7SGS1woARtRN0-cKTzko?authuser=0&hl=en&rclk=1,"
+1 805-497-7505",https://www.cadentalgroup.com/contact/gardena/,False,,,,,{},Dentist In California
California Coast Dental Arts,"4.7
(311)","
1721 Artesia Blvd, Gardena, CA 90248, United States",https://www.google.com/maps/place/California+Coast+Dental+Arts/data=!4m7!3m6!1s0x80dc6e314403a9f9:0x5e3d1feab4dc59a6!8m2!3d33.1994397!4d-117.3783103!16s%2Fg%2F1v3gs5_b!19sChIJ-akDRDFu3IARplnctOofPV4?authuser=0&hl=en&rclk=1,"
+1 310-752-9080",http://www.calcoastdental.com/,False,,,,,{},Dentist In California
Cal Oaks Dental,"4.9
(179)","
818 Civic Center Dr, Oceanside, CA 92054, United States",https://www.google.com/maps/place/Cal+Oaks+Dental/data=!4m7!3m6!1s0x80dc82453a255555:0x94b683e5cf621a03!8m2!3d33.56707!4d-117.2069931!16s%2Fg%2F11f63ymzqg!19sChIJVVUlOkWC3IARAxpiz-WDtpQ?authuser=0&hl=en&rclk=1,"
+1 760-722-4765",https://www.caloaksdental.com/index.html,True,,,,,"{""address"": ""41011 California Oaks Rd, #203 Murrieta, CA 92562"", ""social_media"": {}}",Dentist In California
Shinkawa Dental,"5.0
(389)","
41011 California Oaks Rd STE 203, Murrieta, CA 92562, United States",https://www.google.com/maps/place/Shinkawa+Dental/data=!4m7!3m6!1s0x80945df32ce2209b:0xc50833d5bb246411!8m2!3d36.8514995!4d-119.7832489!16s%2Fg%2F1tplqkq6!19sChIJmyDiLPNdlIAREWQku9UzCMU?authuser=0&hl=en&rclk=1,"
+1 951-501-4900",https://www.shinkawadental.com/request-an-appointment.html,True,,,,"Dr. Gerald T. Shinkawa, Dr. Adam H. Shinkawa, Dr. Nicole E. Shinkawa","{""address"": ""7760 N. Fresno St. #105, Fresno, CA 93720"", ""social_media"": {}}",Dentist In California
Asiri Dental,"5.0
(22)","
808 E Thousand Oaks Blvd, Thousand Oaks, CA 91360, United States",https://www.google.com/maps/place/Asiri+Dental/data=!4m7!3m6!1s0x80945d2a2ced2589:0x563aab0740095748!8m2!3d36.7792822!4d-119.7696991!16s%2Fg%2F1tf6mf_0!19sChIJiSXtLCpdlIARSFcJQAerOlY?authuser=0&hl=en&rclk=1,"
+1 805-370-7171",https://dentalspecialistsofca.com/,False,https://dentalspecialistsofca.com/contact,,,,"{""address"": ""808 E. Thousand Oaks Blvd, Thousand Oaks, CA 91360"", ""social_media"": {}}",Dentist In California
California Dental Group of Cypress,"4.7
(132)","
3248 E Shields Ave suite b, Fresno, CA 93726, United States",https://www.google.com/maps/place/California+Dental+Group+of+Cypress/data=!4m7!3m6!1s0x80dd2f281f226e07:0xf91b60ae3c2e0d2f!8m2!3d33.7924652!4d-118.0290374!16s%2Fg%2F1tdlc0f1!19sChIJB24iHygv3YARLw0uPK5gG_k?authuser=0&hl=en&rclk=1,"
+1 559-225-8300",https://www.asiridental.com/,False,,,,,{},Dentist In California
California Dental Innovations: Mina Levi DDS,"4.0
(52)","
11741 Valley View St, Cypress, CA 90630, United States",https://www.google.com/maps/place/California+Dental+Innovations:+Mina+Levi+DDS/data=!4m7!3m6!1s0x8085808ea43bfc29:0x1f8b5a25452ae28c!8m2!3d37.7895827!4d-122.4078088!16s%2Fg%2F1ygvstywy!19sChIJKfw7pI6AhYARjOIqRSVaix8?authuser=0&hl=en&rclk=1,"
+1 714-826-3000",https://calidentalgroup.com/cypress-office/,False,,,,,{},Dentist In California
Cal Dental Of Buena Park,"4.5
(140)","
450 Sutter St #808, San Francisco, CA 94108, United States",https://www.google.com/maps/place/Cal+Dental+Of+Buena+Park/data=!4m7!3m6!1s0x80dd2b9962d78c07:0xb5dc9085edf109!8m2!3d33.8585619!4d-118.0026946!16s%2Fg%2F11h_46b79b!19sChIJB4zXYpkr3YARCfHthZDctQA?authuser=0&hl=en&rclk=1,"
+1 415-513-5066",http://www.caldentalbuenapark.com/,False,,,,,{},Dentist In California
Southern California Dental Health Associates,"4.5
(21)","
1530 Bessie Ave STE 103, Tracy, CA 95376, United States",https://www.google.com/maps/place/Southern+California+Dental+Health+Associates/data=!4m7!3m6!1s0x80c2b94f362813b1:0x16ca1aaccd42aefc!8m2!3d34.0579136!4d-118.3599558!16s%2Fg%2F1wrgkd_1!19sChIJsRMoNk-5woAR_K5CzawayhY?authuser=0&hl=en&rclk=1,"
+1 209-830-7473",http://www.care32.com/,True,,,,,{},Dentist In California
Glenn Dental,"4.5
(21)","
1530 Bessie Ave STE 103, Tracy, CA 95376, United States",https://www.google.com/maps/place/Glenn+Dental/data=!4m7!3m6!1s0x80c36479b299d963:0x71d2300d38169931!8m2!3d34.5438837!4d-117.2708329!16s%2Fg%2F1w665pk9!19sChIJY9mZsnlkw4ARMZkWOA0w0nE?authuser=0&hl=en&rclk=1,"
+1 209-830-7473",http://www.care32.com/,True,,,,,"{""address"": """", ""social_media"": {}}",Dentist In California
California Dental Group of South Anaheim,"4.5
(21)","
1530 Bessie Ave STE 103, Tracy, CA 95376, United States",https://www.google.com/maps/place/California+Dental+Group+of+South+Anaheim/data=!4m7!3m6!1s0x80dcd7e5391457cd:0xe171d1d5e5dcd6ad!8m2!3d33.790497!4d-117.9143353!16s%2Fg%2F1thml8_t!19sChIJzVcUOeXX3IARrdbc5dXRceE?authuser=0&hl=en&rclk=1,"
+1 209-830-7473",http://www.care32.com/,True,,,,,"{""address"": """", ""social_media"": {}}",Dentist In California
Professional Dental Care,"3.4
(39)","
2300 S Harbor Blvd, Anaheim, CA 92802, United States",https://www.google.com/maps/place/Professional+Dental+Care/data=!4m7!3m6!1s0x809442b21c762909:0x769cd16c6ff8a303!8m2!3d36.842596!4d-119.776383!16s%2Fg%2F1tfzxq_z!19sChIJCSl2HLJClIARA6P4b2zRnHY?authuser=0&hl=en&rclk=1,"
+1 714-750-3030",https://www.calidentalgroup.com/south-anaheim-office/,False,,,,,{},Dentist In California
Northern California Dental - Dr. Daniel Lee,"3.4
(39)","
2300 S Harbor Blvd, Anaheim, CA 92802, United States",https://www.google.com/maps/place/Northern+California+Dental+-+Dr.+Daniel+Lee/data=!4m7!3m6!1s0x808fcb192048e115:0xcafafce66150f822!8m2!3d37.326651!4d-121.940304!16s%2Fg%2F11gbp05f1_!19sChIJFeFIIBnLj4ARIvhQYeb8-so?authuser=0&hl=en&rclk=1,"
+1 714-750-3030",https://www.calidentalgroup.com/south-anaheim-office/,False,,,,,{},Dentist In California
"California Happy Teeth Family Dentistry: Sumity Sharma, DDS","4.5
(8)","
455 O'Connor Dr #320, San Jose, CA 95128, United States","https://www.google.com/maps/place/California+Happy+Teeth+Family+Dentistry:+Sumity+Sharma,+DDS/data=!4m7!3m6!1s0x808fce952c05371f:0xca7a474c22309d22!8m2!3d37.4201307!4d-121.8765238!16s%2Fg%2F11bw5_qd5p!19sChIJHzcFLJXOj4ARIp0wIkxHeso?authuser=0&hl=en&rclk=1","
+1 408-971-9600",https://www.northerncaldental.com/,True,,,,,"{""address"": ""455 O\u2019Connor Drive Ste 320 San Jose, CA 95128"", ""social_media"": {}}",Dentist In California
Asiri Dental,"4.9
(247)","
1123 S Park Victoria Dr, Milpitas, CA 95035, United States",https://www.google.com/maps/place/Asiri+Dental/data=!4m7!3m6!1s0x80946753ec775463:0x92325bcf7e4f9466!8m2!3d36.7579193!4d-119.7959089!16s%2Fg%2F1thvh5dy!19sChIJY1R37FNnlIARZpRPfs9bMpI?authuser=0&hl=en&rclk=1,"
+1 408-214-4714",https://www.californiahappyteeth.com/,True,,,,"Sumity Sharma, DDS","{""address"": ""1123 S. Park Victoria Dr., Milpitas, CA 95035"", ""social_media"": {}}",Dentist In California
California Dental Group,"4.7
(402)","
1211 N Del Mar Ave, Fresno, CA 93728, United States",https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c29b760632d9e7:0x914125e895c6c5e3!8m2!3d34.2646528!4d-118.5164339!16s%2Fg%2F11j8m3qz18!19sChIJ59kyBnabwoAR48XGleglQZE?authuser=0&hl=en&rclk=1,"
+1 559-497-8300",http://asiridental.com/,False,,,,,{},Dentist In California
Valley Grace Dental,"4.7
(24)","
17526 Chatsworth St, Granada Hills, CA 91344, United States",https://www.google.com/maps/place/Valley+Grace+Dental/data=!4m7!3m6!1s0x80ea41d8e126a1c9:0x9b87bfee83cc9aab!8m2!3d35.3884391!4d-119.0953216!16s%2Fg%2F1z3t9y2_d!19sChIJyaEm4dhB6oARq5rMg-6_h5s?authuser=0&hl=en&rclk=1,"
+1 818-832-2828",https://www.valleygracedental.com/,False,,,,,{},Dentist In California
California Oral Surgery & Dental Implant Center,"4.8
(577)","
3115 Latte Ln #100, Bakersfield, CA 93312, United States",https://www.google.com/maps/place/California+Oral+Surgery+%26+Dental+Implant+Center/data=!4m7!3m6!1s0x80dd2f3b8c8d4ff7:0x4019c3b3b8187879!8m2!3d33.736186!4d-117.9954564!16s%2Fg%2F1vg6v13t!19sChIJ90-NjDsv3YAReXgYuLPDGUA?authuser=0&hl=en&rclk=1,"
+1 661-243-9548",https://www.valleygracedental.com/,False,,,,,{},Dentist In California
California Dental,,"
1009 Glenoaks Blvd, San Fernando, CA 91340, United States",https://www.google.com/maps/place/California+Dental/data=!4m7!3m6!1s0x80c291d33c81601f:0xcbb3afe8df9b3b69!8m2!3d34.290861!4d-118.4295614!16s%2Fg%2F1tn01h8g!19sChIJH2CBPNORwoARaTub3-ivs8s?authuser=0&hl=en&rclk=1,"
+1 818-361-3889",https://www.california-dental.net/,True,,,(818) 361-3889,Dr. Arman Petrosyan,"{""address"": ""San Fernando, CA"", ""social_media"": {}}",Dentist In California
Dental Group of California,,"
4952 Cesar Chavez Blvd #101, Fresno, CA 93727, United States",https://www.google.com/maps/place/Dental+Group+of+California/data=!4m7!3m6!1s0x8094592fffffffff:0xa8752de284b8242!8m2!3d36.7356348!4d-119.7300539!16s%2Fg%2F1vc6dncd!19sChIJ_____y9ZlIARQoJLKN5Shwo?authuser=0&hl=en&rclk=1,"
+1 559-453-9100",http://www.dentalgroupofcalifornia.com/,True,,dgca.appointments@gmail.com,"(559) 453-9100, (559) 453-9100","Roxanne Office Manager, Julie Financial Coordinator, Mireya Scheduling Coordinator, Maria RDAEF2, Yelina Back Office Lead/RDA, Edith Dental Assistant, Messthly Dental Assistant","{""address"": ""4952 E. Kings Canyon Rd, Suite 101, Fresno, CA, 93727"", ""social_media"": {}}",Dentist In California
Southern California Family Dentistry,"4.6
(215)",,https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80dce8f8d7ea1469:0x769c99b7ad8d2380!8m2!3d33.6240846!4d-117.6972946!16s%2Fg%2F1ts3lhp2!19sChIJaRTq1_jo3IARgCONrbeZnHY?authuser=0&hl=en&rclk=1,"
+1 949-830-3743",http://www.scfamilydentistry.com/,False,,,,,{},Dentist In California
California Dental Group Los Angeles,,"
4701 Eagle Rock Blvd, Los Angeles, CA 90041, United States",https://www.google.com/maps/place/California+Dental+Group+Los+Angeles/data=!4m7!3m6!1s0x80c2c15b5070f019:0x4b5e8b97d2cb7b1c!8m2!3d34.1304425!4d-118.2169757!16s%2Fg%2F1tj4yzvs!19sChIJGfBwUFvBwoARHHvL0peLXks?authuser=0&hl=en&rclk=1,"
+1 323-204-3120",http://www.cadentalgroup.com/,False,,,,,{},Dentist In California
California Dental Care and Orthodontics,"4.8
(1,128)","
9275 Base Line Rd, Rancho Cucamonga, CA 91730, United States",https://www.google.com/maps/place/California+Dental+Care+and+Orthodontics/data=!4m7!3m6!1s0x80c3368c9b7c69ff:0x563a455bfc587b2b!8m2!3d34.1212653!4d-117.6027321!16s%2Fg%2F1tf1c0dq!19sChIJ_2l8m4w2w4ARK3tY_FtFOlY?authuser=0&hl=en&rclk=1,"
+1 909-265-4940",https://dentalcarecalifornia.com/,True,,,(909) 945-0024,,"{""address"": ""9275 Baseline Road, Rancho Cucamonga, CA 91730"", ""social_media"": {""facebook"": ""https://www.facebook.com/CaliforniaDentalCareOrthodontics"", ""instagram"": ""https://www.instagram.com/californiadentalcare_ortho/"", ""youtube"": ""https://www.youtube.com/channel/UC3Z42MwITIxzxf_xjpw23Uw"", ""tiktok"": ""https://www.tiktok.com/@californiadentalcare""}}",Dentist In California
"California Dental Care, American Canyon, Nahreen Imam, DDS, Inc.","4.4
(331)","
3860 Broadway #104, American Canyon, CA 94503, United States","https://www.google.com/maps/place/California+Dental+Care,+American+Canyon,+Nahreen+Imam,+DDS,+Inc./data=!4m7!3m6!1s0x80850c6fd6c0ad4b:0xef82d79b834eb556!8m2!3d38.176784!4d-122.253757!16s%2Fg%2F1wcxd9n6!19sChIJS63A1m8MhYARVrVOg5vXgu8?authuser=0&hl=en&rclk=1","
+1 707-553-8008",https://www.cdsmile.com/,True,,,,,{},Dentist In California
Southern California Family Dentistry,,"
14412 Whittier Blvd, Whittier, CA 90605, United States",https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80c2d48219ac3d49:0xa4e846c3b0dfbc4b!8m2!3d33.9542689!4d-118.0173864!16s%2Fg%2F1tf7mv65!19sChIJST2sGYLUwoARS7zfsMNG6KQ?authuser=0&hl=en&rclk=1,"
+1 562-693-0788",http://www.scfamilydentistry.com/,False,,,,,{},Dentist In California
Cal Dental of Bell,"4.6
(228)","
4021 Florence Ave, Bell, CA 90201, United States",https://www.google.com/maps/place/Cal+Dental+of+Bell/data=!4m7!3m6!1s0x80c2cebc0e63e35d:0x586fc93f84bdb126!8m2!3d33.9713787!4d-118.1959147!16s%2Fg%2F11bx0jkv98!19sChIJXeNjDrzOwoARJrG9hD_Jb1g?authuser=0&hl=en&rclk=1,"
+1 323-560-6096",https://caldentalusa.com/caldentalbell,True,,,,,{},Dentist In California
Glenn Dental,,"
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/Glenn+Dental/data=!4m7!3m6!1s0x80c22c5b73052951:0xfe71ea5c2150f763!8m2!3d35.1268575!4d-117.9568975!16s%2Fg%2F1tdyr11m!19sChIJUSkFc1sswoARY_dQIVzqcf4?authuser=0&hl=en&rclk=1,"
+1 760-373-1950",https://www.glenndental.com/,True,,"info@glenndental.com, glenndentalcalcity@gmail.com","(760) 242-2620, (760) 373-1950, (760) 284-3060",,"{""address"": ""16098 Kamana Rd #101, Apple Valley, CA 92307"", ""social_media"": {}}",Dentist In California
California Dental Group,"4.4
(51)","
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c29587d3d16d1f:0x1b960860fee6cce1!8m2!3d34.1647413!4d-118.3573577!16s%2Fg%2F1tk63cq3!19sChIJH23R04eVwoAR4czm_mAIlhs?authuser=0&hl=en&rclk=1,"
+1 818-741-3954",https://www.cadentalgroup.com/contact/north-hollywood/,False,,,,,{},Dentist In California
"Dr. Bill Dorfman, DDS – Century City Aesthetic Dentistry","4.6
(234)","
10400 Magnolia Blvd, North Hollywood, CA 91601, United States","https://www.google.com/maps/place/Dr.+Bill+Dorfman,+DDS+%E2%80%93+Century+City+Aesthetic+Dentistry/data=!4m7!3m6!1s0x80c2bbf24adbb6d3:0xa23228a1baf2f33b!8m2!3d34.0593713!4d-118.411306!16s%2Fg%2F1tq8jtty!19sChIJ07bbSvK7woARO_PyuqEoMqI?authuser=0&hl=en&rclk=1","
+1 310-277-5678",https://www.billdorfmandds.com/?utm_source=GoogleMyBusiness&utm_medium=Organic&utm_campaign=Website,True,,,,,{},Dentist In California
