Title,Rating,Address,Directions,Contact,Web Link,SitemapExists,ContactPageURL,Emails,Phones,ContactPersons,OtherInfo
Valley Pharmacy,"1.8
(16)","
3601 California St, San Francisco, CA 94118, United States",https://www.google.com/maps/place/Valley+Pharmacy/data=!4m7!3m6!1s0x80eab903c3d5d201:0x51633716b96ad914!8m2!3d36.0700472!4d-119.0294889!16s%2Fg%2F11hyzyxrnk!19sChIJAdLVwwO56oARFNlquRY3Y1E?authuser=0&hl=en&rclk=1,"
+1 559-854-7500",https://www.mygnp.com/pharmacies/valley-pharmacy-porterville-ca-93257/,False,,,,,{}
Barnes Arcata Family Drug,"4.1
(793)","
3157 Corporate Pl, Hayward, CA 94545, United States",https://www.google.com/maps/place/Barnes+Arcata+Family+Drug/data=!4m7!3m6!1s0x54d1570e4ef5fee9:0x849477e75081ecd9!8m2!3d40.870181!4d-124.0850344!16s%2Fg%2F1vzv3d7z!19sChIJ6f71Tg5X0VQR2eyBUOd3lIQ?authuser=0&hl=en&rclk=1,"
+1 877-554-4797",http://barnes-drug.jany.io/,False,,,,,{}
Gonzales Rx Pharmacy,"4.6
(48)","
1080 G St, Arcata, CA 95521, United States",https://www.google.com/maps/place/Gonzales+Rx+Pharmacy/data=!4m7!3m6!1s0x80926d5f3546d211:0xb9c6930ac7c6dc7e!8m2!3d36.5066701!4d-121.4443179!16s%2Fg%2F1thd2117!19sChIJEdJGNV9tkoARftzGxwqTxrk?authuser=0&hl=en&rclk=1,"
+1 707-822-2496",https://www.mygnp.com/pharmacies/gonzales-rx-pharmacy-gonzales-ca-93926-0808/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=550221,False,,,,,{}
Sierra Vista Pharmacy,"3.1
(19)","
18 4th St, Gonzales, CA 93926, United States",https://www.google.com/maps/place/Sierra+Vista+Pharmacy/data=!4m7!3m6!1s0x809531487d56e161:0xc731599f9e8c4bdf!8m2!3d36.2980359!4d-119.2013601!16s%2Fg%2F1tdgq1vr!19sChIJYeFWfUgxlYAR30uMnp9ZMcc?authuser=0&hl=en&rclk=1,"
+1 831-675-3643",https://www.facebook.com/search/top?q=sierra%20vista%20pharmacy,False,,,,,{}
Vons Pharmacy,"4.4
(27)","
650 E Visalia Rd, Farmersville, CA 93223, United States",https://www.google.com/maps/place/Vons+Pharmacy/data=!4m7!3m6!1s0x80db7fb5cf0ef7d9:0xcd28ce168a73a9df!8m2!3d33.5052317!4d-117.1479738!16s%2Fg%2F1w665q1g!19sChIJ2fcOz7V_24AR36lzihbOKM0?authuser=0&hl=en&rclk=1,"
+1 559-594-8602",https://local.pharmacy.vons.com/ca/temecula/29530-rancho-california-rd.html,False,,,,,{}
Campus Pharmacy,"4.4
(8)","
29530 Rancho California Rd, Temecula, CA 92591, United States",https://www.google.com/maps/place/Campus+Pharmacy/data=!4m7!3m6!1s0x80c2bc84245df99f:0xcc8aa991288d2df1!8m2!3d34.0656384!4d-118.445874!16s%2Fg%2F11hd9ndpkp!19sChIJn_ldJIS8woAR8S2NKJGpisw?authuser=0&hl=en&rclk=1,"
+1 951-695-7273",https://www.mygnp.com/pharmacies/campus-pharmacy-los-angeles-ca-90024/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=519201,False,,,,,{}
MedEx Pharmacy,"4.2
(18)","
100 Medical Plaza STE 150, Los Angeles, CA 90024, United States",https://www.google.com/maps/place/MedEx+Pharmacy/data=!4m7!3m6!1s0x8094c39017e06ae3:0x3c63cc625ffc195e!8m2!3d36.3274667!4d-119.6629431!16s%2Fg%2F11b_3g90z3!19sChIJ42rgF5DDlIARXhn8X2LMYzw?authuser=0&hl=en&rclk=1,"
+1 310-208-2340",https://www.mygnp.com/pharmacies/campus-pharmacy-los-angeles-ca-90024/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=519201,False,,,,,{}
Healthcare Pharmacy - Compounding Pharmacy,"4.5
(109)","
365 Campus Dr, Hanford, CA 93230, United States",https://www.google.com/maps/place/Healthcare+Pharmacy+-+Compounding+Pharmacy/data=!4m7!3m6!1s0x80dcdbe2f4f12c89:0x89553d1132f94b2d!8m2!3d33.730117!4d-117.828487!16s%2Fg%2F119t7qlkq!19sChIJiSzx9OLb3IARLUv5MhE9VYk?authuser=0&hl=en&rclk=1,"
+1 559-583-1480",http://www.healthcarepharmtustin.com/,True,,,,,{}
LA Compounding Pharmacy,"4.1
(16)","
14642 Newport Ave, Tustin, CA 92780, United States",https://www.google.com/maps/place/LA+Compounding+Pharmacy/data=!4m7!3m6!1s0x80c2b94e01fae5f5:0x43ae09308dc4bc4c!8m2!3d34.0733861!4d-118.3798234!16s%2Fg%2F11lqydz2vs!19sChIJ9eX6AU65woARTLzEjTAJrkM?authuser=0&hl=en&rclk=1,"
+1 714-669-4000",http://www.healthcarepharmtustin.com/,True,,,,,"{""address"": ""14642 Newport Ave. Suite 110 Tustin, CA 92780"", ""social_media"": {""instagram"": ""https://www.instagram.com/LA.Century.Law"", ""yelp"": ""https://www.yelp.com"", ""google_business"": """"}}"
Pill Box Pharmacy,"5.0
(267)","
8600 W 3rd St #1, Los Angeles, CA 90048, United States",https://www.google.com/maps/place/Pill+Box+Pharmacy/data=!4m7!3m6!1s0x80945d83a167018f:0x120425b8b3f0748b!8m2!3d36.8118087!4d-119.772798!16s%2Fg%2F1tdg3gcv!19sChIJjwFnoYNdlIARi3Tws7glBBI?authuser=0&hl=en&rclk=1,"
+1 310-362-4122",https://lacompounding.com/,True,,,,,{}
CarePlus Drugs Pharmacy,"4.3
(23)","
5187 N First St Suite 101, Fresno, CA 93710, United States",https://www.google.com/maps/place/CarePlus+Drugs+Pharmacy/data=!4m7!3m6!1s0x80946746b8405423:0xd9389b1de660bde2!8m2!3d36.8075277!4d-119.8666495!16s%2Fg%2F11fjytmwnj!19sChIJI1RAuEZnlIAR4r1g5h2bONk?authuser=0&hl=en&rclk=1,"
+1 559-492-2162",http://pill-box-pharmacy-fresno.yeeq.io/,False,,,,,{}
Rite Aid Pharmacy,"5.0
(1)","
4345 E Lowell St, Ontario, CA 91761, United States",https://www.google.com/maps/place/Rite+Aid+Pharmacy/data=!4m7!3m6!1s0x80905961896072cb:0x98176751fae25461!8m2!3d37.796999!4d-120.9919036!16s%2Fg%2F1tj4h8w4!19sChIJy3JgiWFZkIARYVTi-lFnF5g?authuser=0&hl=en&rclk=1,"
+1 760-326-2312",https://www.riteaid.com/locations/ca/escalon/1710-california-street.html,False,,,,,{}
CVS Pharmacy,"4.3
(39)","
1710 California St, Escalon, CA 95320, United States",https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x808de4925f323419:0x5f9c1e2810da5dc2!8m2!3d36.6211304!4d-121.8430953!16s%2Fg%2F1tfg39ps!19sChIJGTQyX5LkjYARwl3aECgenF8?authuser=0&hl=en&rclk=1,"
+1 209-838-3524",https://www.riteaid.com/locations/ca/escalon/1710-california-street.html,False,,,,,{}
California Pharmacists Association,"4.8
(11)","
2040 California Ave, Sand City, CA 93955, United States",https://www.google.com/maps/place/California+Pharmacists+Association/data=!4m7!3m6!1s0x809ad7b557e4952d:0x5abd9193e2c83339!8m2!3d38.6427116!4d-121.4906234!16s%2Fg%2F1vqth0vv!19sChIJLZXkV7XXmoAROTPI4pORvVo?authuser=0&hl=en&rclk=1,"
+1 831-583-9110",https://www.cvs.com/store-locator/sand-city-ca-pharmacies/2040-california-ave-sand-city-ca-93955/storeid=16447?WT.mc_id=LS_GOOGLE_RX_16447,False,https://www.cvs.com/store-locator/sand-city-ca-pharmacies/2040-california-ave-sand-city-ca-93955/contact-us,,,,{}
Walmart Pharmacy,"4.5
(10)","
4030 Lennane Dr, Sacramento, CA 95834, United States",https://www.google.com/maps/place/Walmart+Pharmacy/data=!4m7!3m6!1s0x8084d08b5092cd49:0xf129048aa56f3061!8m2!3d38.6807842!4d-121.7879246!16s%2Fg%2F1pty2w4qb!19sChIJSc2SUIvQhIARYTBvpYoEKfE?authuser=0&hl=en&rclk=1,"
+1 916-779-1400",https://cpha.com/,False,,,,,{}
CVS Pharmacy,"4.5
(10)","
4030 Lennane Dr, Sacramento, CA 95834, United States",https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x808561ebb00b4e63:0xf18006ca87ceed7d!8m2!3d37.8965708!4d-122.0644801!16s%2Fg%2F11c475cbvv!19sChIJY04LsOthhYARfe3Oh8oGgPE?authuser=0&hl=en&rclk=1,"
+1 916-779-1400",https://cpha.com/,False,,,,,{}
